age,sex,educ,race,income,married
59,1,9,1,0,1
31,0,1,3,17000,0
36,1,11,1,0,1
54,1,11,1,9100,1
39,0,5,3,37000,0
34,0,9,1,0,1
93,1,8,1,6000,1
69,0,13,1,350000,1
40,1,11,3,33000,1
27,1,11,1,25000,0
59,1,13,1,49000,1
31,1,11,3,0,1
73,1,13,4,35500,0
89,1,9,1,4000,1
39,1,10,3,15000,0
51,1,13,4,120000,1
32,0,9,1,13000,0
52,0,11,2,45000,0
24,0,7,1,0,0
48,1,10,1,4300,1
51,0,1,3,16000,1
43,1,14,1,365000,1
29,0,4,3,20000,0
44,1,15,1,17900,1
87,1,8,1,3600,0
27,1,11,3,10800,0
58,0,13,1,60900,1
32,1,11,3,25000,1
74,1,7,3,6520,0
28,1,13,4,21000,0
70,0,15,1,319000,1
35,0,9,1,30000,0
36,1,11,3,600,1
63,1,9,3,35800,1
21,1,9,3,18000,0
29,0,1,3,21200,1
44,0,13,1,50000,1
35,1,11,3,0,1
43,0,13,3,69800,1
59,1,10,4,30000,1
53,0,5,3,17300,1
42,0,10,1,38000,1
32,0,11,1,19000,1
50,0,16,1,52650,1
18,0,4,3,0,0
40,1,13,1,40000,1
42,1,11,1,7000,0
52,0,11,1,325000,1
56,1,14,1,52000,1
45,1,11,1,0,1
39,0,8,1,18000,0
28,0,10,1,49000,1
46,1,13,1,47000,1
45,0,11,3,50000,1
32,1,9,4,12000,1
22,1,9,1,5000,1
52,1,15,1,43000,1
21,0,3,3,12000,1
60,1,13,1,4000,1
77,1,11,1,2500,1
38,0,1,3,1800,0
40,1,11,3,15700,1
34,1,11,2,13700,0
48,1,12,1,76000,1
69,1,9,1,5010,1
46,0,11,1,85300,1
40,0,13,1,149000,0
26,1,9,3,12000,1
37,1,14,1,65000,0
30,0,5,3,13000,1
70,1,15,4,1800,1
42,1,4,3,0,0
24,1,3,3,12500,1
31,0,9,3,28000,1
20,0,8,3,8400,0
33,1,11,1,18500,0
47,0,7,1,155100,1
19,1,10,1,0,0
33,1,5,1,4600,0
66,1,13,4,4600,1
23,0,11,1,66000,0
51,1,9,1,9600,0
23,0,13,1,23500,0
47,1,13,1,63000,1
48,1,8,3,13000,1
43,1,11,1,8000,1
31,0,10,3,10400,0
47,1,3,3,10200,1
74,0,11,1,24400,0
93,1,1,2,6000,0
55,1,11,1,12800,0
29,1,9,3,24000,0
33,0,11,3,119000,1
50,0,2,3,18000,1
28,0,11,2,8100,1
29,1,13,1,38000,0
38,1,10,1,35000,1
42,0,9,3,50900,1
50,1,10,1,22640,0
77,0,4,3,12400,1
