age,sex,educ,race,income,married
43,1,1,2,0,1
22,0,1,1,17000,0
27,1,2,2,0,1
21,1,2,1,9100,1
48,0,1,2,37000,0
30,0,1,2,0,1
41,1,1,1,6000,1
42,0,1,2,350000,1
42,1,2,2,33000,1
34,1,1,2,25000,0
46,1,2,2,49000,1
35,1,1,1,0,1
40,1,1,2,35500,0
48,1,2,1,4000,1
49,1,1,2,15000,0
40,1,1,1,120000,1
43,0,1,1,13000,0
36,0,2,2,45000,0
38,0,2,2,0,0
45,1,2,1,4300,1
32,0,2,1,16000,1
43,1,2,2,365000,1
46,0,1,2,20000,0
22,1,1,2,17900,1
36,1,2,1,3600,0
37,1,1,2,10800,0
45,0,2,1,60900,1
44,1,2,1,25000,1
42,1,1,1,6520,0
49,1,2,2,21000,0
47,0,1,2,319000,1
39,0,2,2,30000,0
23,1,2,2,600,1
41,1,2,2,35800,1
36,1,1,2,18000,0
28,0,2,2,21200,1
24,0,2,1,50000,1
47,1,2,2,0,1
25,0,1,1,69800,1
32,1,2,1,30000,1
25,0,1,1,17300,1
21,0,1,1,38000,1
35,0,1,2,19000,1
22,0,2,2,52650,1
32,0,1,1,0,0
34,1,1,2,40000,1
30,1,1,2,7000,0
33,0,2,1,325000,1
23,1,2,1,52000,1
32,1,2,2,0,1
40,0,2,1,18000,0
34,0,1,1,49000,1
25,1,1,1,47000,1
32,0,1,2,50000,1
23,1,1,1,12000,1
26,1,2,2,5000,1
39,1,1,2,43000,1
44,0,2,1,12000,1
34,1,2,2,4000,1
32,1,1,1,2500,1
26,0,1,1,1800,0
28,1,1,2,15700,1
22,1,1,2,13700,0
44,1,2,1,76000,1
28,1,1,1,5010,1
21,0,2,1,85300,1
48,0,1,2,149000,0
21,1,1,2,12000,1
44,1,2,1,65000,0
26,0,1,1,13000,1
39,1,2,2,1800,1
46,1,1,1,0,0
36,1,1,1,12500,1
48,0,2,1,28000,1
46,0,1,2,8400,0
47,1,2,1,18500,0
46,0,1,2,155100,1
28,1,2,2,0,0
37,1,1,1,4600,0
36,1,2,1,4600,1
36,0,1,1,66000,0
31,1,1,2,9600,0
45,0,1,1,23500,0
24,1,2,2,63000,1
37,1,1,1,13000,1
34,1,1,1,8000,1
48,0,2,1,10400,0
42,1,2,2,10200,1
49,0,2,1,24400,0
39,1,2,2,6000,0
38,1,1,1,12800,0
22,1,1,2,24000,0
36,0,2,2,119000,1
23,0,2,2,18000,1
21,0,1,1,8100,1
32,1,2,1,38000,0
27,1,1,1,35000,1
38,0,1,1,50900,1
45,1,1,1,22640,0
48,0,1,1,12400,1
33,1,1,1,0,1
42,0,2,2,40000,0
35,0,2,1,40000,1
41,1,1,2,7000,0
28,1,2,1,60000,0
40,1,1,1,690,0
33,1,1,1,21000,0
25,0,1,1,94100,1
28,1,2,2,6800,0
37,0,1,1,52000,1
25,1,1,2,0,0
31,1,2,2,10800,0
24,0,2,2,680,0
39,0,1,2,0,0
34,1,1,2,33000,1
35,0,1,1,22500,1
30,1,1,1,2000,1
24,1,2,1,25000,1
38,0,2,1,115370,1
33,1,1,2,0,1
29,1,2,1,38580,0
43,1,1,1,16000,1
31,0,2,1,5600,1
36,0,1,1,14000,0
21,1,1,1,109000,0
47,1,2,1,27000,1
21,0,2,1,51800,0
40,1,2,2,0,1
48,1,1,1,28030,0
45,0,1,2,11200,0
24,1,2,2,62700,1
39,0,1,2,20000,1
44,1,2,2,23000,0
43,1,1,2,3000,1
27,0,1,2,220,0
43,0,2,1,120000,1
38,0,2,2,30000,0
25,1,1,2,28000,0
47,1,1,1,48700,1
49,1,1,2,11000,1
28,0,2,1,6000,0
44,0,2,2,7000,1
29,1,2,1,0,1
43,0,1,1,22000,1
25,1,1,1,20000,1
39,1,2,1,12020,1
22,0,2,2,33000,0
32,1,1,1,4900,0
40,1,2,1,0,0
41,0,2,2,60000,1
38,1,2,2,5600,1
31,0,2,1,28000,0
32,0,1,2,91000,1
48,1,2,1,0,0
31,1,2,1,27000,1
33,0,2,2,15800,1
49,1,1,2,21600,1
31,0,2,1,30000,1
45,0,2,2,92000,1
36,0,1,1,181000,1
26,1,2,2,80000,1
44,1,1,2,75800,0
36,0,2,1,90000,1
45,1,1,2,0,0
24,1,1,1,0,1
40,0,1,2,62300,1
33,1,2,2,0,1
45,0,2,2,30000,1
36,1,1,2,4800,0
28,1,1,1,17000,0
48,1,1,1,36000,0
23,1,1,2,25000,1
25,0,1,1,4000,0
26,0,1,2,27000,0
21,1,1,1,6200,1
38,1,2,2,25800,0
39,0,1,1,33500,0
47,0,2,2,40000,1
34,1,2,1,0,0
44,0,1,2,16000,0
30,1,1,2,1330,1
36,0,2,2,21600,1
40,1,2,1,32000,1
21,1,1,1,24000,0
46,1,1,1,31000,1
36,0,1,1,0,0
29,1,1,2,37100,1
23,1,2,1,5800,1
40,1,2,2,3500,0
46,1,2,2,86000,1
47,0,2,2,14400,1
22,1,2,2,22600,1
34,1,1,1,37100,0
48,0,1,2,72000,1
28,0,2,2,8000,0
26,0,1,2,110300,0
24,1,1,1,13100,0
46,0,2,1,26000,0
33,0,2,1,125200,1
34,1,2,2,11900,1
39,1,2,2,2460,1
28,1,1,1,47500,1
37,1,1,1,13900,1
26,0,2,2,40220,0
38,0,2,1,40000,1
37,1,2,1,0,1
29,0,1,2,5400,0
45,1,2,1,3000,1
42,1,2,1,9800,0
41,0,2,2,44600,1
35,0,2,2,40000,0
26,0,2,1,56150,1
49,1,1,2,14200,0
22,1,2,2,15000,0
28,1,1,2,30000,1
38,1,2,1,10210,1
46,0,2,1,6000,1
21,1,2,2,52000,1
21,1,1,2,0,0
39,1,1,2,27000,1
43,1,2,2,29700,0
32,0,2,2,11000,0
26,0,2,1,56000,1
45,1,2,2,77000,0
48,0,1,1,13800,1
25,0,1,2,48300,1
24,1,1,2,11000,0
29,1,1,2,26180,1
24,1,1,2,5200,1
37,0,1,2,80000,0
31,0,2,1,69000,1
37,0,1,1,73700,1
33,1,2,1,40000,1
42,1,1,2,90000,1
46,1,1,1,26800,1
49,0,1,2,50000,1
31,1,2,2,0,1
22,1,2,1,0,1
29,1,1,1,0,1
46,0,2,2,61200,0
46,1,2,1,55000,0
48,1,1,2,3000,1
22,1,1,1,5200,1
29,0,1,1,56000,1
26,1,1,2,18900,1
37,1,1,1,62700,1
37,0,1,1,10000,1
48,1,1,1,4300,1
37,0,2,1,10100,1
45,0,1,2,9500,0
43,0,1,2,1400,1
28,0,2,1,180000,1
37,1,2,1,4000,0
32,1,2,2,0,1
46,1,1,1,72000,1
29,0,2,2,45000,1
39,1,1,1,14030,0
26,0,1,1,20040,1
34,0,1,1,9000,0
22,1,2,1,0,1
41,1,2,1,940,1
32,1,2,2,0,0
25,0,2,1,68000,1
37,0,2,2,41000,0
45,1,2,2,19200,1
31,1,2,1,23000,1
37,0,2,1,13000,0
29,1,1,1,8400,1
29,0,2,1,45000,1
44,0,1,2,12000,0
48,1,1,2,23800,0
43,1,2,2,0,0
27,1,1,2,16000,0
32,1,1,1,0,0
45,0,2,2,52000,1
34,0,2,1,119700,1
21,1,1,2,0,1
48,0,1,2,115000,1
26,1,1,2,29300,1
35,1,2,2,325000,1
37,0,1,1,41600,0
40,1,1,1,19000,0
42,1,1,1,39300,0
43,0,2,2,0,0
32,0,2,2,36420,1
24,1,2,1,0,0
30,1,1,2,0,1
35,1,2,1,2200,0
33,0,1,1,0,1
32,1,2,1,24620,1
31,1,1,2,0,0
21,0,2,2,40000,1
27,1,2,2,71000,1
35,0,2,1,49000,0
39,0,1,1,42500,1
35,0,2,1,0,0
36,1,1,2,9530,0
45,1,2,2,27900,0
27,1,2,1,24020,0
22,0,1,1,46300,1
48,1,2,1,18800,0
25,0,1,2,168000,1
35,1,2,2,39000,0
25,0,1,2,167000,1
32,1,2,1,73000,1
33,0,2,2,58200,0
44,1,1,2,7530,1
48,0,2,1,140500,1
25,0,2,2,31800,1
32,0,2,2,50000,1
37,0,2,1,57200,1
29,1,2,1,1800,1
27,1,1,1,56000,0
26,0,1,2,32100,1
40,0,1,1,13500,1
27,0,2,2,13000,0
26,1,1,2,8200,0
