,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,32,4,1487444,9,13,0,6,3,4,0,0,0,40,39,0
1,19,4,485282,1,14,0,12,1,4,1,1000,0,40,39,0
2,60,4,157140,11,9,2,9,0,4,1,0,0,72,39,0
3,44,4,207396,9,7,0,3,4,4,1,0,0,40,39,0
4,54,4,275389,15,9,2,4,1,2,1,0,0,57,39,0
5,20,0,65497,6,9,5,1,0,1,0,0,0,76,39,0
6,47,2,213308,11,5,2,3,1,2,1,0,0,40,26,0
7,31,4,375901,4,4,2,10,0,4,1,0,0,40,0,0
8,34,4,222177,11,11,4,14,0,4,1,0,0,40,39,0
9,63,4,41847,11,10,2,3,1,4,0,2400,2012,34,39,0
10,32,7,139402,15,10,0,13,0,4,1,0,0,47,39,0
11,40,4,234002,15,9,2,3,1,2,0,0,0,50,39,0
12,77,4,189658,15,3,0,3,3,4,0,0,0,40,39,0
13,46,4,210352,1,13,2,1,4,2,1,0,0,40,39,0
14,20,2,195571,8,10,0,10,0,2,1,0,0,49,39,0
15,39,4,479369,11,10,5,12,0,4,1,0,0,37,39,0
16,22,4,266520,11,9,2,3,0,4,0,0,0,40,39,0
17,25,4,142359,9,9,2,12,0,2,1,0,0,17,39,0
18,68,0,272433,9,9,3,12,0,4,1,0,0,30,39,0
19,53,4,272433,8,9,4,8,0,2,1,0,0,34,39,0
20,30,4,68453,9,10,2,4,0,4,0,0,0,40,39,0
21,55,4,1487444,9,14,0,3,3,4,0,0,0,60,39,0
22,38,4,174877,11,13,4,1,0,1,0,0,0,40,1,0
23,44,4,219221,12,16,2,4,0,4,1,0,0,26,15,0
24,64,4,166009,14,9,6,5,0,4,1,0,0,40,0,0
25,58,0,204440,11,10,5,14,3,4,1,0,0,40,39,0
26,64,4,177833,11,13,4,12,0,4,1,18400,0,42,39,0
27,50,4,41847,11,1,0,3,0,4,0,0,0,44,38,0
28,43,4,121665,9,9,2,8,0,4,0,0,0,8,39,0
29,56,4,171921,15,10,4,4,0,4,1,0,1707,40,39,0
30,40,8,174877,11,9,4,14,0,4,1,0,2091,55,39,0
31,22,2,59584,11,13,4,4,5,4,0,0,0,40,39,0
32,24,4,166009,5,10,2,4,4,4,1,0,0,38,39,0
33,18,4,112796,11,13,4,10,5,4,1,0,0,40,3,0
34,40,4,316776,11,13,4,4,1,4,0,0,0,40,39,0
35,52,4,95059,15,10,2,10,1,4,1,0,0,60,39,0
36,35,4,310864,15,4,2,3,4,4,0,3400,0,40,39,0
37,42,4,77322,11,7,4,6,4,4,0,0,0,40,39,0
