age,sex,educ,race,income,married
35,1,1,2,325000,1
44,1,1,2,7530,1
40,0,2,1,7200,1
43,1,1,2,13800,0
47,1,1,2,27000,1
37,0,2,1,13000,0
23,1,1,2,35600,0
41,0,2,2,100050,1
45,0,1,1,7000,1
38,0,2,2,0,0
30,0,2,1,50000,1
42,1,1,1,10200,1
39,1,2,2,43000,1
31,1,1,1,0,1
34,1,2,2,67000,0
21,1,2,2,0,0
39,0,2,2,2000,0
44,0,2,2,12000,1
34,1,1,2,13700,1
48,0,1,1,16500,0
32,0,1,1,21000,1
48,1,1,2,4300,1
40,0,1,2,7200,0
31,0,1,2,8300,0
35,1,2,1,0,1
25,1,2,1,6000,1
29,1,2,2,38000,0
30,0,1,1,30000,0
35,1,1,2,39000,0
24,1,1,2,5200,1
46,0,2,2,28000,1
38,0,1,2,30000,0
43,1,2,1,365000,1
41,1,2,2,1000,0
40,1,1,1,13000,0
40,0,2,2,0,0
41,1,2,2,35000,1
34,0,2,2,96000,0
34,1,2,2,40000,1
42,0,1,1,0,0
40,1,1,2,0,1
31,0,2,1,251000,1
26,0,1,2,32100,1
24,0,1,2,44200,0
40,0,2,1,18000,0
25,1,2,2,0,1
43,1,2,2,10600,0
44,0,1,1,251000,1
21,1,1,2,12000,1
49,1,2,1,21600,1
31,1,1,1,52120,0
33,1,2,2,0,1
43,0,1,1,77000,1
47,1,1,2,10000,0
48,0,1,2,72000,1
36,1,2,2,11900,1
28,0,2,1,180000,1
34,1,2,2,6050,1
29,1,1,1,5600,0
29,0,1,1,15000,0
21,1,2,1,30000,0
26,1,2,1,0,0
40,1,1,1,9800,0
41,0,1,2,44600,1
22,0,2,1,1e+05,0
29,1,1,2,31030,1
21,0,2,1,51800,0
33,0,1,1,125200,1
49,1,2,2,1600,0
21,1,2,2,1100,0
40,1,2,2,0,1
26,1,1,2,62600,1
31,0,1,1,22700,1
34,1,2,1,0,0
26,0,2,1,57370,1
36,1,1,2,18000,0
33,1,2,2,0,1
29,0,2,1,56000,1
27,0,1,2,12000,0
46,1,1,1,10500,1
31,0,2,2,30000,1
46,1,1,2,39000,1
24,1,2,1,0,1
26,0,1,1,40220,0
22,1,1,2,69200,0
31,1,2,1,6500,0
26,1,2,1,5000,1
37,0,1,1,33000,0
37,0,2,1,10100,1
44,1,1,1,28250,0
32,1,1,2,0,1
37,0,1,1,28000,1
24,1,1,1,25000,1
45,1,1,2,13000,0
32,1,2,1,0,0
30,0,1,2,22900,0
39,0,1,1,20000,1
39,1,2,2,6000,0
41,0,1,1,44500,0
28,1,1,1,15700,1
39,1,1,1,1800,1
35,1,2,2,3030,0
24,1,1,1,13100,0
27,1,2,1,0,1
49,1,1,2,11000,1
37,0,2,2,80200,1
46,1,2,1,0,1
40,0,1,2,21100,1
34,0,1,2,7200,0
30,1,1,1,0,1
45,0,1,1,13500,1
22,0,2,2,52650,1
38,0,1,2,115370,1
38,1,2,2,2500,0
25,1,2,2,9000,0
44,0,2,1,12000,0
35,0,1,1,41300,1
33,1,1,2,21000,0
43,0,2,2,22000,1
43,1,2,2,16000,1
44,1,2,1,0,1
45,0,2,1,7000,0
26,1,1,1,30000,0
38,0,1,1,52000,1
37,0,1,2,73700,1
21,1,1,1,84000,1
31,1,1,2,6000,0
31,0,1,1,69000,1
28,1,2,2,18500,1
44,0,1,1,93400,1
39,0,2,2,14000,1
26,0,1,2,14000,1
39,1,1,2,2460,1
42,0,1,1,80600,0
42,1,2,1,31000,1
22,1,2,1,2200,0
34,1,1,2,4000,0
24,1,1,2,13000,1
21,1,2,1,0,1
44,0,2,1,0,0
21,1,2,2,0,1
44,1,1,1,23000,0
42,1,2,1,39300,0
28,1,1,1,6800,0
43,1,2,1,3600,1
41,0,1,2,20000,0
40,1,2,1,47800,0
26,0,1,1,13000,1
42,0,2,1,109000,0
45,0,2,2,11200,0
24,1,1,1,19000,1
25,0,2,2,17300,1
37,1,1,2,10284,0
26,0,1,2,12100,0
39,0,2,2,29000,0
26,1,2,2,25000,1
48,0,1,1,140000,1
22,1,1,2,1e+05,1
48,0,2,2,1900,0
46,0,1,2,45000,0
35,1,2,1,25200,0
24,0,1,1,0,0
26,1,1,2,1200,0
36,0,2,1,32000,0
43,0,2,2,1400,1
40,1,1,1,0,1
38,0,1,1,40000,1
22,1,2,1,5000,0
29,0,1,2,30000,1
28,0,1,2,14000,0
48,0,2,2,10400,0
44,0,2,2,500,0
32,1,2,2,2500,1
27,1,1,1,56000,0
44,1,1,2,24500,1
46,1,1,1,26600,0
23,0,2,1,40000,1
33,1,1,1,3000,0
42,1,2,2,9800,0
24,1,2,2,10000,1
25,0,1,2,168000,1
34,1,2,1,8000,1
46,1,1,2,49000,1
46,1,1,1,14500,0
25,0,1,1,167000,1
46,0,2,2,5540,1
26,1,1,1,18000,0
40,0,2,2,38500,1
41,0,2,2,19000,1
32,1,1,1,17100,0
45,0,2,2,0,0
37,1,1,2,62700,1
26,0,2,2,25200,1
34,0,2,1,49000,1
45,0,1,2,27000,1
21,0,2,1,95000,1
40,0,1,1,24000,0
24,0,2,2,50000,1
27,1,2,2,92000,0
24,0,2,2,30300,1
38,1,2,1,5600,1
49,0,1,1,4000,0
42,1,2,2,8400,0
22,0,1,2,0,1
30,0,2,2,66200,0
30,1,1,2,1330,1
26,1,2,2,0,0
40,1,1,1,19400,0
40,1,2,1,0,0
23,1,2,2,0,1
43,1,1,1,12000,1
44,0,1,2,0,0
43,0,2,2,10000,0
44,1,2,1,9000,0
46,0,1,1,138100,0
37,0,2,2,84900,1
48,1,2,1,325000,1
43,1,2,2,5000,0
33,1,2,2,0,1
45,1,1,1,19200,1
23,1,2,2,21150,0
31,0,1,2,123000,1
49,1,1,1,15000,0
39,1,2,1,20200,1
46,0,1,2,55000,1
34,0,1,1,90300,1
22,0,1,2,9000,0
24,0,1,2,4000,1
35,1,2,1,2200,0
30,0,1,1,17700,1
26,0,2,1,110300,0
22,1,1,1,13700,0
47,1,1,2,19100,1
32,1,2,1,73000,1
25,1,2,1,28900,0
42,0,2,1,350000,1
28,1,2,1,0,1
27,0,1,2,2400,0
33,0,1,2,28900,1
48,0,1,2,25900,0
41,0,2,2,61900,1
41,0,2,1,38000,0
47,1,2,2,15000,0
24,1,1,1,0,1
36,0,1,2,119000,1
38,0,2,1,13400,1
47,1,1,1,31000,0
25,1,2,1,62000,0
40,0,1,1,34440,1
23,1,1,1,60000,1
46,1,1,2,7000,1
25,1,1,2,1100,0
25,0,2,1,48300,1
46,0,2,2,6000,1
25,0,1,2,4000,0
32,0,2,1,16000,1
31,1,2,2,9600,0
32,0,1,2,50000,1
30,0,2,2,22000,1
45,0,2,1,92000,1
29,1,2,2,1800,1
24,1,2,1,7000,1
25,1,2,1,0,0
47,1,2,2,13000,0
34,0,2,2,9000,0
38,1,1,2,15000,1
41,1,1,1,940,1
31,1,1,2,3600,1
36,1,1,2,4200,0
41,1,2,2,26100,1
40,0,1,2,30000,1
46,1,1,2,86000,1
22,0,2,1,46300,1
49,0,2,1,42000,1
36,0,1,1,35000,1
22,0,1,1,20900,1
22,1,1,2,28000,1
48,1,2,1,3000,1
35,0,1,2,25000,1
28,0,2,2,3600,0
37,0,2,2,52000,1
25,1,1,2,12000,0
34,0,2,2,119700,1
22,0,2,2,33000,0
34,1,1,1,25000,0
29,1,1,2,44000,0
32,0,1,1,325000,0
45,0,2,1,29000,0
26,0,2,1,50000,1
31,1,1,2,39000,0
23,0,2,1,9000,1
32,1,2,1,50000,0
37,1,1,2,10800,0
23,0,1,1,6500,1
40,0,1,1,60000,1
48,1,2,2,18800,0
32,1,1,2,14600,0
33,1,1,2,0,1
40,0,1,1,1500,0
25,1,2,2,0,1
32,0,1,1,31000,1
25,0,1,2,46100,1
28,1,2,2,11700,1
38,1,2,2,9600,0
36,0,1,2,0,0
38,0,1,2,47000,0
44,1,1,1,20000,1
46,1,2,1,72000,1
36,0,1,1,9600,1
31,1,2,2,0,0
36,0,2,2,90000,1
27,0,1,2,13000,0
42,0,2,1,40000,0
39,0,2,2,60000,0
24,0,2,1,22300,0
49,1,2,1,8610,0
48,0,1,2,12400,1
25,0,1,1,62000,0
29,1,2,2,5100,1
41,1,2,1,6400,0
23,1,1,1,5800,1
24,0,1,2,138300,1
48,0,2,2,5000,0
42,1,2,1,10500,0
33,0,1,2,1e+05,1
46,0,2,2,95000,1
26,1,2,1,0,1
